,#,Jugadores,Min,Pts,TC,2 Pts,3 Pts,TL,REBO,REBD,REB,AST,FP,TO,ROB,BLQ,+/-,EFF,TCc,TCi,2Pc,2Pi,3Pc,3Pi,TLc,TLi,game,Res,PTS_OPP,TCi_OPP,TCc_OPP,2Pi_OPP,2Pc_OPP,3Pi_OPP,3Pc_OPP,TLi_OPP,TLc_OPP,RO_OPP,RD_OPP,AST_OPP,TO_OPP,ROB_OPP,FP_OPP
13,Totales,Angola,200,67.0,23/65  35.4%,19/35  54.3%,4/30  13.3%,17/22  77.3%,15,26,41,13.0,28,15,8.0,2.0,-14.0,65.0,23.0,65.0,19.0,35.0,4.0,30.0,17.0,22.0,/es/basketballworldcup/2023/game/2508/Angola-Italy,0.0,81.0,60.0,25.0,29.0,20.0,31.0,5.0,30.0,26.0,11.0,30.0,22.0,11.0,5.0,18.0
13,Totales,Italia,200,81.0,25/60  41.7%,20/29  69%,5/31  16.1%,26/30  86.7%,11.0,30.0,41.0,22.0,18.0,11.0,5.0,6.0,14,100,25.0,60.0,20.0,29.0,5.0,31.0,26.0,30.0,/es/basketballworldcup/2023/game/2508/Angola-Italy,1.0,67.0,65.0,23.0,35.0,19.0,30.0,4.0,22.0,17.0,15.0,26.0,13.0,15.0,8.0,28.0
13,Totales,Finlandia,200,72.0,27/66  40.9%,21/40  52.5%,6/26  23.1%,12/16  75%,11,23,34,17.0,21,19,6.0,3.0,-26.0,62.0,27.0,66.0,21.0,40.0,6.0,26.0,12.0,16.0,/es/basketballworldcup/2023/game/2508/Finland-Australia,0.0,98.0,73.0,37.0,47.0,29.0,26.0,8.0,17.0,16.0,11.0,30.0,23.0,12.0,12.0,23.0
13,Totales,Australia,200,98.0,37/73  50.7%,29/47  61.7%,8/26  30.8%,16/17  94.1%,11,30,41,23.0,23,12,12.0,4.0,26.0,126.0,37.0,73.0,29.0,47.0,8.0,26.0,16.0,17.0,/es/basketballworldcup/2023/game/2508/Finland-Australia,1.0,72.0,66.0,27.0,40.0,21.0,26.0,6.0,16.0,12.0,11.0,23.0,17.0,19.0,6.0,21.0
13,Totales,México,200,71.0,25/56  44.6%,19/37  51.4%,6/19  31.6%,15/19  78.9%,6.0,22.0,28.0,20.0,19.0,16.0,5.0,0.0,-20,72,25.0,56.0,19.0,37.0,6.0,19.0,15.0,19.0,/es/basketballworldcup/2023/game/2508/México-Montenegro,0.0,91.0,64.0,33.0,33.0,19.0,31.0,14.0,15.0,11.0,9.0,26.0,20.0,11.0,8.0,18.0
13,Totales,Montenegro,200,91.0,33/64  51.6%,19/33  57.6%,14/31  45.2%,11/15  73.3%,9.0,26.0,35.0,20.0,18.0,11.0,8.0,2.0,20,106,33.0,64.0,19.0,33.0,14.0,31.0,11.0,15.0,/es/basketballworldcup/2023/game/2508/México-Montenegro,1.0,71.0,56.0,25.0,37.0,19.0,19.0,6.0,19.0,15.0,6.0,22.0,20.0,16.0,5.0,19.0
13,Totales,Letonia,200,109.0,42/71  59.2%,24/36  66.7%,18/35  51.4%,7/11  63.6%,11,23,34,34.0,13,5,6.0,1.0,39.0,145.0,42.0,71.0,24.0,36.0,18.0,35.0,7.0,11.0,/es/basketballworldcup/2023/game/2508/Latvia-Lebanon,1.0,70.0,61.0,27.0,37.0,20.0,24.0,7.0,11.0,9.0,10.0,17.0,16.0,14.0,3.0,16.0
13,Totales,Líbano,200,70.0,27/61  44.3%,20/37  54.1%,7/24  29.2%,9/11  81.8%,10.0,17.0,27.0,16.0,16.0,14.0,3.0,0.0,-39,61,27.0,61.0,20.0,37.0,7.0,24.0,9.0,11.0,/es/basketballworldcup/2023/game/2508/Latvia-Lebanon,0.0,109.0,71.0,42.0,36.0,24.0,35.0,18.0,11.0,7.0,11.0,23.0,34.0,5.0,6.0,13.0
13,Totales,República Dominicana,200,87.0,29/73  39.7%,23/45  51.1%,6/28  21.4%,23/34  67.6%,17.0,26.0,43.0,18.0,22.0,12.0,11.0,3.0,6,94,29.0,73.0,23.0,45.0,6.0,28.0,23.0,34.0,/es/basketballworldcup/2023/game/2508/Dominican-Republic-Philippines,1.0,81.0,56.0,27.0,38.0,21.0,18.0,6.0,27.0,21.0,3.0,32.0,16.0,19.0,7.0,28.0
13,Totales,Filipinas,200,81.0,27/56  48.2%,21/38  55.3%,6/18  33.3%,21/27  77.8%,3.0,32.0,35.0,16.0,28.0,19.0,7.0,5.0,-6,89,27.0,56.0,21.0,38.0,6.0,18.0,21.0,27.0,/es/basketballworldcup/2023/game/2508/Dominican-Republic-Philippines,0.0,87.0,73.0,29.0,45.0,23.0,28.0,6.0,34.0,23.0,17.0,26.0,18.0,12.0,11.0,22.0
13,Totales,Alemania,200,81.0,34/72  47.2%,28/39  71.8%,6/33  18.2%,7/9  77.8%,11,36,47,21.0,12,10,7.0,4.0,18.0,108.0,34.0,72.0,28.0,39.0,6.0,33.0,7.0,9.0,/es/basketballworldcup/2023/game/2508/Germany-Japan,1.0,63.0,65.0,23.0,30.0,17.0,35.0,6.0,17.0,11.0,8.0,28.0,17.0,13.0,5.0,16.0
13,Totales,Japón,200,63.0,23/65  35.4%,17/30  56.7%,6/35  17.1%,11/17  64.7%,8,28,36,17.0,16,13,5.0,3.0,-18.0,58.0,23.0,65.0,17.0,30.0,6.0,35.0,11.0,17.0,/es/basketballworldcup/2023/game/2508/Germany-Japan,0.0,81.0,72.0,34.0,39.0,28.0,33.0,6.0,9.0,7.0,11.0,36.0,21.0,10.0,7.0,12.0
13,Totales,Egipto,200,67.0,27/64  42.2%,23/49  46.9%,4/15  26.7%,9/19  47.4%,11,23,34,12.0,22,10,6.0,1.0,-26.0,58.0,27.0,64.0,23.0,49.0,4.0,15.0,9.0,19.0,/es/basketballworldcup/2023/game/2508/Egipto-Lituania,0.0,93.0,76.0,32.0,40.0,21.0,36.0,11.0,23.0,18.0,22.0,31.0,24.0,11.0,2.0,20.0
13,Totales,Lituania,200,93.0,32/76  42.1%,21/40  52.5%,11/36  30.6%,18/23  78.3%,22,31,53,24.0,20,11,2.0,2.0,26.0,110.0,32.0,76.0,21.0,40.0,11.0,36.0,18.0,23.0,/es/basketballworldcup/2023/game/2508/Egipto-Lituania,1.0,67.0,64.0,27.0,49.0,23.0,15.0,4.0,19.0,9.0,11.0,23.0,12.0,10.0,6.0,22.0
13,Totales,Canadá,200,95.0,32/73  43.8%,21/37  56.8%,11/36  30.6%,20/27  74.1%,15,30,45,20.0,17,10,9.0,2.0,30.0,111.0,32.0,73.0,21.0,37.0,11.0,36.0,20.0,27.0,/es/basketballworldcup/2023/game/2508/Canada-France,1.0,65.0,60.0,25.0,32.0,19.0,28.0,6.0,13.0,9.0,6.0,29.0,14.0,17.0,8.0,24.0
13,Totales,Francia,200,65.0,25/60  41.7%,19/32  59.4%,6/28  21.4%,9/13  69.2%,6,29,35,14.0,24,17,8.0,4.0,-30.0,69.0,25.0,60.0,19.0,32.0,6.0,28.0,9.0,13.0,/es/basketballworldcup/2023/game/2508/Canada-France,0.0,95.0,73.0,32.0,37.0,21.0,36.0,11.0,27.0,20.0,15.0,30.0,20.0,10.0,9.0,17.0
13,Totales,Sudán del Sur,225,96.0,34/67  50.7%,24/41  58.5%,10/26  38.5%,18/24  75%,10.0,28.0,38.0,23.0,23.0,21.0,10.0,4.0,-5,111,34.0,67.0,24.0,41.0,10.0,26.0,18.0,24.0,/es/basketballworldcup/2023/game/2608/South-Sudan-Puerto-Rico,0.0,101.0,82.0,35.0,54.0,25.0,28.0,10.0,31.0,21.0,23.0,27.0,22.0,20.0,13.0,16.0
13,Totales,Puerto Rico,225,101.0,35/82  42.7%,25/54  46.3%,10/28  35.7%,21/31  67.7%,23.0,27.0,50.0,22.0,16.0,20.0,13.0,3.0,5,111,35.0,82.0,25.0,54.0,10.0,28.0,21.0,31.0,/es/basketballworldcup/2023/game/2608/South-Sudan-Puerto-Rico,1.0,96.0,67.0,34.0,41.0,24.0,26.0,10.0,24.0,18.0,10.0,28.0,23.0,21.0,10.0,23.0
13,Totales,Cabo Verde,200,60.0,21/71  29.6%,18/45  40%,3/26  11.5%,15/21  71.4%,18.0,20.0,38.0,15.0,26.0,15.0,11.0,3.0,-25,55,21.0,71.0,18.0,45.0,3.0,26.0,15.0,21.0,/es/basketballworldcup/2023/game/2608/Cape-Verde-Georgia,0.0,85.0,60.0,28.0,41.0,21.0,19.0,7.0,24.0,22.0,11.0,37.0,23.0,22.0,9.0,21.0
13,Totales,Georgia,200,85.0,28/60  46.7%,21/41  51.2%,7/19  36.8%,22/24  91.7%,11,37,48,23.0,21,22,9.0,1.0,25.0,104.0,28.0,60.0,21.0,41.0,7.0,19.0,22.0,24.0,/es/basketballworldcup/2023/game/2608/Cape-Verde-Georgia,1.0,60.0,71.0,21.0,45.0,18.0,26.0,3.0,21.0,15.0,18.0,20.0,15.0,15.0,11.0,26.0
13,Totales,Jordania,200,71.0,23/56  41.1%,15/36  41.7%,8/20  40%,17/25  68%,11.0,20.0,31.0,17.0,20.0,14.0,5.0,1.0,-21,70,23.0,56.0,15.0,36.0,8.0,20.0,17.0,25.0,/es/basketballworldcup/2023/game/2608/Jordan-Greece,0.0,92.0,68.0,35.0,36.0,23.0,32.0,12.0,18.0,10.0,17.0,24.0,24.0,11.0,9.0,20.0
13,Totales,Grecia,200,92.0,35/68  51.5%,23/36  63.9%,12/32  37.5%,10/18  55.6%,17.0,24.0,41.0,24.0,20.0,11.0,9.0,5.0,21,114,35.0,68.0,23.0,36.0,12.0,32.0,10.0,18.0,/es/basketballworldcup/2023/game/2608/Jordan-Greece,1.0,71.0,56.0,23.0,36.0,15.0,20.0,8.0,25.0,17.0,11.0,20.0,17.0,14.0,5.0,20.0
13,Totales,Irán,200,59.0,24/65  36.9%,16/36  44.4%,8/29  27.6%,3/8  37.5%,8,21,29,17.0,20,19,7.0,1.0,-41.0,46.0,24.0,65.0,16.0,36.0,8.0,29.0,3.0,8.0,/es/basketballworldcup/2023/game/2608/Iran-Brazil,0.0,100.0,64.0,35.0,30.0,21.0,34.0,14.0,21.0,16.0,8.0,34.0,25.0,15.0,12.0,11.0
13,Totales,Brasil,200,100.0,35/64  54.7%,21/30  70%,14/34  41.2%,16/21  76.2%,8,34,42,25.0,11,15,12.0,3.0,41.0,129.0,35.0,64.0,21.0,30.0,14.0,34.0,16.0,21.0,/es/basketballworldcup/2023/game/2608/Iran-Brazil,1.0,59.0,65.0,24.0,36.0,16.0,29.0,8.0,8.0,3.0,8.0,21.0,17.0,19.0,7.0,20.0
13,Totales,Eslovenia,200,100.0,33/56  58.9%,22/28  78.6%,11/28  39.3%,23/30  76.7%,12.0,27.0,39.0,17.0,20.0,16.0,4.0,1.0,15,112,33.0,56.0,22.0,28.0,11.0,28.0,23.0,30.0,/es/basketballworldcup/2023/game/2608/Slovenia-Venezuela,1.0,85.0,67.0,31.0,27.0,15.0,40.0,16.0,11.0,7.0,10.0,13.0,20.0,14.0,9.0,26.0
13,Totales,Venezuela,200,85.0,31/67  46.3%,15/27  55.6%,16/40  40%,7/11  63.6%,10,13,23,20.0,26,14,9.0,0.0,-15.0,81.0,31.0,67.0,15.0,27.0,16.0,40.0,7.0,11.0,/es/basketballworldcup/2023/game/2608/Slovenia-Venezuela,0.0,100.0,56.0,33.0,28.0,22.0,28.0,11.0,30.0,23.0,12.0,27.0,17.0,16.0,4.0,20.0
13,Totales,Serbia,200,105.0,34/59  57.6%,21/31  67.7%,13/28  46.4%,24/28  85.7%,6,27,33,30.0,12,12,14.0,4.0,42.0,143.0,34.0,59.0,21.0,31.0,13.0,28.0,24.0,28.0,/es/basketballworldcup/2023/game/2608/Serbia-China,1.0,63.0,63.0,24.0,34.0,16.0,29.0,8.0,12.0,7.0,11.0,22.0,17.0,21.0,8.0,20.0
13,Totales,China,200,63.0,24/63  38.1%,16/34  47.1%,8/29  27.6%,7/12  58.3%,11,22,33,17.0,20,21,8.0,1.0,-42.0,55.0,24.0,63.0,16.0,34.0,8.0,29.0,7.0,12.0,/es/basketballworldcup/2023/game/2608/Serbia-China,0.0,105.0,59.0,34.0,31.0,21.0,28.0,13.0,28.0,24.0,6.0,27.0,30.0,12.0,14.0,12.0
13,Totales,USA,200,99.0,35/59  59.3%,27/41  65.9%,8/18  44.4%,21/27  77.8%,5,36,41,23.0,17,19,10.0,7.0,27.0,127.0,35.0,59.0,27.0,41.0,8.0,18.0,21.0,27.0,/es/basketballworldcup/2023/game/2608/USA-New-Zealand,1.0,72.0,74.0,27.0,46.0,18.0,28.0,9.0,12.0,9.0,11.0,22.0,13.0,19.0,7.0,23.0
13,Totales,Nueva Zelanda,200,72.0,27/74  36.5%,18/46  39.1%,9/28  32.1%,9/12  75%,11,22,33,13.0,23,19,7.0,0.0,-27.0,49.0,27.0,74.0,18.0,46.0,9.0,28.0,9.0,12.0,/es/basketballworldcup/2023/game/2608/USA-New-Zealand,0.0,99.0,59.0,35.0,41.0,27.0,18.0,8.0,27.0,21.0,5.0,36.0,23.0,19.0,10.0,17.0
13,Totales,España,200,94.0,34/64  53.1%,23/35  65.7%,11/29  37.9%,15/22  68.2%,17,31,48,29.0,15,18,7.0,5.0,30.0,123.0,34.0,64.0,23.0,35.0,11.0,29.0,15.0,22.0,/es/basketballworldcup/2023/game/2608/Spain-Cote-d-Ivoire,1.0,64.0,63.0,25.0,37.0,16.0,26.0,9.0,7.0,5.0,7.0,19.0,15.0,14.0,11.0,23.0
13,Totales,Costa de Marfil,200,64.0,25/63  39.7%,16/37  43.2%,9/26  34.6%,5/7  71.4%,7,19,26,15.0,23,14,11.0,1.0,-30.0,60.0,25.0,63.0,16.0,37.0,9.0,26.0,5.0,7.0,/es/basketballworldcup/2023/game/2608/Spain-Cote-d-Ivoire,0.0,94.0,64.0,34.0,35.0,23.0,29.0,11.0,22.0,15.0,17.0,31.0,29.0,18.0,7.0,15.0
13,Totales,Italia,200,82.0,29/67  43.3%,22/38  57.9%,7/29  24.1%,17/18  94.4%,9.0,27.0,36.0,14.0,23.0,7.0,5.0,3.0,-5,87,29.0,67.0,22.0,38.0,7.0,29.0,17.0,18.0,/es/basketballworldcup/2023/game/2708/Italy-Dominican-Republic,0.0,87.0,66.0,29.0,27.0,13.0,39.0,16.0,17.0,13.0,10.0,27.0,22.0,13.0,4.0,21.0
13,Totales,República Dominicana,200,87.0,29/66  43.9%,13/27  48.1%,16/39  41%,13/17  76.5%,10.0,27.0,37.0,22.0,21.0,13.0,4.0,2.0,5,97,29.0,66.0,13.0,27.0,16.0,39.0,13.0,17.0,/es/basketballworldcup/2023/game/2708/Italy-Dominican-Republic,1.0,82.0,67.0,29.0,38.0,22.0,29.0,7.0,18.0,17.0,9.0,27.0,14.0,7.0,5.0,23.0
13,Totales,Australia,200,82.0,32/59  54.2%,23/40  57.5%,9/19  47.4%,9/16  56.2%,8.0,24.0,32.0,18.0,16.0,13.0,4.0,3.0,-3,89,32.0,59.0,23.0,40.0,9.0,19.0,9.0,16.0,/es/basketballworldcup/2023/game/2708/Australia-Germany,0.0,85.0,61.0,31.0,31.0,20.0,30.0,11.0,15.0,12.0,6.0,21.0,18.0,13.0,9.0,19.0
13,Totales,Alemania,200,85.0,31/61  50.8%,20/31  64.5%,11/30  36.7%,12/15  80%,6.0,21.0,27.0,18.0,19.0,13.0,9.0,3.0,3,95,31.0,61.0,20.0,31.0,11.0,30.0,12.0,15.0,/es/basketballworldcup/2023/game/2708/Australia-Germany,1.0,82.0,59.0,32.0,40.0,23.0,19.0,9.0,16.0,9.0,8.0,24.0,18.0,13.0,4.0,16.0
13,Totales,Montenegro,200,89.0,34/68  50%,28/49  57.1%,6/19  31.6%,15/17  88.2%,11.0,27.0,38.0,16.0,16.0,16.0,15.0,4.0,15,108,34.0,68.0,28.0,49.0,6.0,19.0,15.0,17.0,/es/basketballworldcup/2023/game/2708/Montenegro-Egypt,1.0,74.0,65.0,27.0,36.0,19.0,29.0,8.0,16.0,12.0,10.0,24.0,17.0,22.0,10.0,17.0
13,Totales,Egipto,200,74.0,27/65  41.5%,19/36  52.8%,8/29  27.6%,12/16  75%,10.0,24.0,34.0,17.0,17.0,22.0,10.0,4.0,-15,72,27.0,65.0,19.0,36.0,8.0,29.0,12.0,16.0,/es/basketballworldcup/2023/game/2708/Montenegro-Egypt,0.0,89.0,68.0,34.0,49.0,28.0,19.0,6.0,17.0,15.0,11.0,27.0,16.0,16.0,15.0,16.0
13,Totales,Líbano,200,73.0,30/62  48.4%,22/43  51.2%,8/19  42.1%,5/5  100%,8,10,18,19.0,18,22,12.0,1.0,-55.0,67.0,30.0,62.0,22.0,43.0,8.0,19.0,5.0,5.0,/es/basketballworldcup/2023/game/2708/Lebanon-Canada,0.0,128.0,70.0,50.0,40.0,32.0,30.0,18.0,14.0,10.0,12.0,24.0,44.0,15.0,13.0,11.0
13,Totales,Canadá,200,128.0,50/70  71.4%,32/40  80%,18/30  60%,10/14  71.4%,12.0,24.0,36.0,44.0,11.0,15.0,13.0,1.0,55,182,50.0,70.0,32.0,40.0,18.0,30.0,10.0,14.0,/es/basketballworldcup/2023/game/2708/Lebanon-Canada,1.0,73.0,62.0,30.0,43.0,22.0,19.0,8.0,5.0,5.0,8.0,10.0,19.0,22.0,12.0,18.0
13,Totales,Filipinas,200,70.0,27/63  42.9%,23/41  56.1%,4/22  18.2%,12/15  80%,12,27,39,17.0,18,15,2.0,3.0,-10.0,75.0,27.0,63.0,23.0,41.0,4.0,22.0,12.0,15.0,/es/basketballworldcup/2023/game/2708/Philippines-Angola,0.0,80.0,72.0,27.0,41.0,18.0,31.0,9.0,23.0,17.0,20.0,23.0,17.0,11.0,10.0,25.0
13,Totales,Angola,200,80.0,27/72  37.5%,18/41  43.9%,9/31  29%,17/23  73.9%,20,23,43,17.0,25,11,10.0,4.0,10.0,84.0,27.0,72.0,18.0,41.0,9.0,31.0,17.0,23.0,/es/basketballworldcup/2023/game/2708/Philippines-Angola,1.0,70.0,63.0,27.0,41.0,23.0,22.0,4.0,15.0,12.0,12.0,27.0,17.0,15.0,2.0,18.0
13,Totales,Japón,200,98.0,30/58  51.7%,19/30  63.3%,11/28  39.3%,27/34  79.4%,9.0,27.0,36.0,24.0,19.0,14.0,9.0,4.0,10,116,30.0,58.0,19.0,30.0,11.0,28.0,27.0,34.0,/es/basketballworldcup/2023/game/2708/Japan-Finland,1.0,88.0,70.0,32.0,41.0,20.0,29.0,12.0,14.0,12.0,13.0,22.0,28.0,13.0,8.0,24.0
13,Totales,Finlandia,200,88.0,32/70  45.7%,20/41  48.8%,12/29  41.4%,12/14  85.7%,13.0,22.0,35.0,28.0,24.0,13.0,8.0,2.0,-10,101,32.0,70.0,20.0,41.0,12.0,29.0,12.0,14.0,/es/basketballworldcup/2023/game/2708/Japan-Finland,0.0,98.0,58.0,30.0,30.0,19.0,28.0,11.0,34.0,27.0,9.0,27.0,24.0,14.0,9.0,19.0
13,Totales,Lituania,200,96.0,38/66  57.6%,28/43  65.1%,10/23  43.5%,10/13  76.9%,8,39,47,23.0,15,14,5.0,7.0,30.0,132.0,38.0,66.0,28.0,43.0,10.0,23.0,10.0,13.0,/es/basketballworldcup/2023/game/2708/Lituania-México,1.0,66.0,73.0,26.0,49.0,19.0,24.0,7.0,9.0,7.0,9.0,20.0,19.0,11.0,9.0,16.0
13,Totales,México,200,66.0,26/73  35.6%,19/49  38.8%,7/24  29.2%,7/9  77.8%,9.0,20.0,29.0,19.0,16.0,11.0,9.0,2.0,-30,65,26.0,73.0,19.0,49.0,7.0,24.0,7.0,9.0,/es/basketballworldcup/2023/game/2708/Lituania-México,0.0,96.0,66.0,38.0,43.0,28.0,23.0,10.0,13.0,10.0,8.0,39.0,23.0,14.0,5.0,15.0
13,Totales,Francia,200,86.0,26/50  52%,12/23  52.2%,14/27  51.9%,20/24  83.3%,10.0,21.0,31.0,23.0,19.0,20.0,6.0,3.0,-2,97,26.0,50.0,12.0,23.0,14.0,27.0,20.0,24.0,/es/basketballworldcup/2023/game/2708/France-Latvia,0.0,88.0,61.0,32.0,26.0,18.0,35.0,14.0,16.0,10.0,10.0,15.0,20.0,14.0,13.0,21.0
13,Totales,Letonia,200,88.0,32/61  52.5%,18/26  69.2%,14/35  40%,10/16  62.5%,10,15,25,20.0,21,14,13.0,2.0,2.0,95.0,32.0,61.0,18.0,26.0,14.0,35.0,10.0,16.0,/es/basketballworldcup/2023/game/2708/France-Latvia,1.0,86.0,50.0,26.0,23.0,12.0,27.0,14.0,24.0,20.0,10.0,21.0,23.0,20.0,6.0,19.0
13,Totales,China,200,69.0,24/52  46.2%,16/32  50%,8/20  40%,13/21  61.9%,6.0,22.0,28.0,16.0,23.0,11.0,3.0,5.0,-20,70,24.0,52.0,16.0,32.0,8.0,20.0,13.0,21.0,/es/basketballworldcup/2023/game/2808/China-South-Sudan,0.0,89.0,60.0,29.0,30.0,14.0,30.0,15.0,24.0,16.0,10.0,24.0,17.0,5.0,4.0,20.0
13,Totales,Sudán del Sur,200,89.0,29/60  48.3%,14/30  46.7%,15/30  50%,16/24  66.7%,10.0,24.0,34.0,17.0,20.0,5.0,4.0,3.0,20,98,29.0,60.0,14.0,30.0,15.0,30.0,16.0,24.0,/es/basketballworldcup/2023/game/2808/China-South-Sudan,1.0,69.0,52.0,24.0,32.0,16.0,20.0,8.0,21.0,13.0,6.0,22.0,16.0,11.0,3.0,23.0
13,Totales,Venezuela,200,75.0,24/63  38.1%,12/31  38.7%,12/32  37.5%,15/20  75%,9.0,27.0,36.0,17.0,24.0,14.0,6.0,1.0,-6,71,24.0,63.0,12.0,31.0,12.0,32.0,15.0,20.0,/es/basketballworldcup/2023/game/2808/Venezuela-Cape-Verde,0.0,81.0,59.0,27.0,33.0,16.0,26.0,11.0,27.0,16.0,10.0,32.0,14.0,11.0,9.0,18.0
13,Totales,Cabo Verde,200,81.0,27/59  45.8%,16/33  48.5%,11/26  42.3%,16/27  59.3%,10.0,32.0,42.0,14.0,18.0,11.0,9.0,4.0,6,91,27.0,59.0,16.0,33.0,11.0,26.0,16.0,27.0,/es/basketballworldcup/2023/game/2808/Venezuela-Cape-Verde,1.0,75.0,63.0,24.0,31.0,12.0,32.0,12.0,20.0,15.0,9.0,27.0,17.0,14.0,6.0,24.0
13,Totales,Nueva Zelanda,225,95.0,33/70  47.1%,20/45  44.4%,13/25  52%,16/21  76.2%,10,27,37,22.0,25,15,9.0,1.0,8.0,100.0,33.0,70.0,20.0,45.0,13.0,25.0,16.0,21.0,/es/basketballworldcup/2023/game/2808/New-Zealand-Jordan,1.0,87.0,68.0,29.0,44.0,23.0,24.0,6.0,31.0,23.0,14.0,30.0,22.0,18.0,10.0,27.0
13,Totales,Jordania,225,87.0,29/68  42.6%,23/44  52.3%,6/24  25%,23/31  74.2%,14.0,30.0,44.0,22.0,27.0,18.0,10.0,2.0,-8,98,29.0,68.0,23.0,44.0,6.0,24.0,23.0,31.0,/es/basketballworldcup/2023/game/2808/New-Zealand-Jordan,0.0,95.0,70.0,33.0,45.0,20.0,25.0,13.0,21.0,16.0,10.0,27.0,22.0,15.0,9.0,25.0
