,id,Equipo,Quinteto,PTS,FGm,FGa,2Pm,2Pa,3Pm,3Pa,1Pm,1Pa,RO,RD,RT,AST,PER,REC,BLQ,POSS,PLAYS,PJ
0,/es/basketballworldcup/2023/game/2508/Angola-Italy,Angola,"['Eduardo Francisco', 'Gerson Goncalves', 'Childe Dundao', 'Jilson Bango', 'Bruno Fernando']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2508/Angola-Italy,Italia,"['Marco Spissu', 'Stefano Tonut', 'Nicolo Melli', 'Simone Fontecchio', 'Achille Polonara']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2508/Finland-Australia,Finlandia,"['Miro Little', 'Sasu Salin', 'Olivier Nkamhoua', 'Mikael Jantunen', 'Lauri Markkanen']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2508/Finland-Australia,Australia,"['Matisse Thybulle', 'Josh Giddey', 'Patty Mills', 'Nick Kay', 'Duop Reath']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2508/México-Montenegro,México,"['Fabián Jaimes', 'Paul Stoll', 'Pako Cruz', 'Gabriel Girón', 'Joshua Ibarra']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2508/México-Montenegro,Montenegro,"['Nikola Vucevic', 'Dino Radoncic', 'Marko Simonovic', 'Petar Popovic', 'Kendrick Perry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2508/Latvia-Lebanon,Letonia,"['Rodions Kurucs', 'Dairis Bertāns', 'Rolands Šmits', 'Andrejs Gražulis', 'Artūrs Žagars']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2508/Latvia-Lebanon,Líbano,"['Omari Rasulala Spellman', 'Sergio El Darwich', 'Ali Haidar', 'Wael Arakji', 'Ali Mezher']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2508/Dominican-Republic-Philippines,República Dominicana,"['Victor Liz', 'Andres Feliz', 'Eloy Vargas', 'Lester Quiñones', 'Karl-Anthony Towns']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2508/Dominican-Republic-Philippines,Filipinas,"['Jordan Clarkson', 'Roger Pogoy', 'Dwight Ramos', 'Japeth Aguilar', 'Ariel John Edu']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
